DESCR,SKU,QTD FATURADA
VERTUO POP AQUA 220V,GCV2-BR3-AQ-NE,"3,00"
"Pixie Lungo, Cherry Red GWP - Ambassador",3611-CR/A,"3,00"
WATER TANK LID,96663,"3,00"
CAPSULE CONTAINER,96664,"3,00"
New Latti 2019 Milk Jug w/o lid,96692,"3,00"
VERTUO NEXT RED - 220V,GCV1-BR3-RE-NE,"3,00"
PORTA INSUMOS G ( ESPAÇO PARA FLAYERS ),145542,"3,00"
Latt One - Steam connector,96128,"3,00"
Latt FL - Descaling spout,93115,"3,00"
G Maest - Aero 4 lid,92949,"3,00"
Latt One - Water tank (w/o lid),96120,"3,00"
GRADE RESIDUOS PIXIE,67881,"3,00"
View Set of 12 Medium Spoon - Bulk,3422,"3,00"
Inissia - Drip tray,93443,"3,00"
Latt PRO - Water tank,93897,"3,00"
VERTUO POP + DELUXE TITAN NESPRESSO 110V,GCV6-BR-TI-NE,"2,00"
Testeira Offices Single,122852,"2,00"
Citiz - Cup support,E54819,"2,00"
BARISTA ICE CUBE TRAY,129927,"2,00"
NEW CITIZ - CESTO COLETOR DE CAPSULA (D RANGE),115803,"2,00"
Identificador de Café deccaffeinado Kit c/50,122845,"2,00"
NOMAD TRAVEL MUG; M LAVENDER,129531,"2,00"
DISPLAY DRAWER PRO,139891,"2,00"
VERTUO LATÍSSIMA BLACK 110V,GDV5-BR-BK-NE,"2,00"
NOMAD M LID,142619,"2,00"
VIEW Set of 12 Cappuccino cups (in bulk),3737/BULK,"2,00"
VERTUO POP + DELUXE GDV6 BR MATTE BLACK 127V,GDV6-BR-MB-NE,"2,00"
ATELIER Module & Caps Tray Asmb,96923,"2,00"
STEAM CONNECTOR ONLY USE EN519/F121,97268,"2,00"
DARK CHOCOLATE,127703,"2,00"
Testeira Horeca Double,122851,"2,00"
Reservatorio de agua,E51221,"2,00"
SUMMER BEACH TOWELL,130431,"2,00"
ATELIER CUP SUPPORT AMB,96922,"2,00"
Professional Espresso Cup (12),5310/12,"2,00"
COFFEE IDENTIFIER LEGGERO KIT/50,130808,"2,00"
1 BARISTA RECIPE LARGE,133239,"2,00"
Advanced Cabinet,110914,"2,00"
INSTRUÇÃO DE USO ZENIUS 10 UNI,145548,"2,00"
Essenza Mini - Capsule container (D rang,96052,"2,00"
CABINET BACK PANEL S XI,30094,"2,00"
Inissia - Capsule container (C range),93444,"2,00"
Inissia - Cup support,93448,"2,00"
Cesto coletor de capsulas Zenius,93130,"2,00"
TOUCH Sleeve Dispenser,3642,"2,00"
Expert - Drip tray,96104,"2,00"
Display Versilo Capsule Dispenser,3586,"2,00"
Latt One - Capsule container - White,96122,"2,00"
1X BARISTA SHAKER,3819,"2,00"
Inissia - Capsule container (D range),93445,"2,00"
Latt One - Aspiration tube,96126,"2,00"
AANESPRS Coaster Shanghai,3768,"2,00"
1 Display Capsule Dispenser,3598,"2,00"
Latt FL - Water tank,94144,"2,00"
Craft Espresso Cups - BULK,3698,"2,00"
SACOLA DE PRESENTE NESPRESSO P,126336,"1,00"
LUME GRAN LUNGO LIMITED EDITION,136567,"1,00"
ADESIVO GENÉRICO PORTA CAPSULAS HOTÉIS,145557,"1,00"
2 VIEW ESPRESSO CUPS AND SAUCERS,3730/2,"1,00"
MILK CARAFFE COVER LID WHITE,97283,"1,00"
Tenis Zeta 39,141603,"1,00"
VERTUO POP + SILVER NESPRESSO 220V,GDV6-BR3-SI-NE,"1,00"
SACOLA DE PRESENTE NESPRESSO G,126337,"1,00"
MILK CARAFFE COMPL WHITE ONLY USE ON,97279,"1,00"
Testeira Offices  Double,126828,"1,00"
AQUECEDOR DE XÍCARAS A SECO ANALÓGICO FB10 PRETO,AQUECEDORES/2,"1,00"
New Latti 2019 Double Silicon Pipe,96689,"1,00"
Cabo de alimentacao,E52505,"1,00"
ESSENZA Mini C30 Metal 110V,C30-BR-SI-NE2,"1,00"
VERTUO LATÍSSIMA BLACK 220V,GDV5-BR3-BK-NE,"1,00"
WASTE WATER,96697,"1,00"
Lattissima One 110V Brown,F111-BR-BW-NE,"1,00"
New latti 2019 Milk Carafe Head w Milk pipe,96691,"1,00"
MILK CARAFFE COMPL BLACK ONLY USE ON,97278,"1,00"
WATER TANK LID BLACK,97269,"1,00"
MILK CARAFFE COVER LID BLACK,97282,"1,00"
MANUAL ZENIUS,126846,"1,00"
Vertuo Next Red 110V + Aero3,A3GCV1-BR-RE-NE,"1,00"
WATER TANK LID WHITE,97270,"1,00"
TAMPA 20 RESERVATORIO DE AGUA PARA MAQUINA MOMENTO,E118273,"1,00"
Porta Capsulas B2B Moment N,103059,"1,00"
VERTUO POP BLUE 220V,GDV2-BR3-BL-NE,"1,00"
BARISTA CAPPUCCINO LARGE CUPS,125195,"1,00"
Bandeja de gotejamento do lado esquerdo,E53301,"1,00"
Drawer Dispenser,122800,"1,00"
Citiz - Drip grid,E55347,"1,00"
Identificador de Cafe Espresso Vanilla (,10561/50,"1,00"
Citiz - Drip tray,E59292,"1,00"
1 Vertuo Mug Small,134571,"1,00"
ADESIVO WOODEN BOX 10UNI,145556,"1,00"
Professional Cappuccino Cup (12),5312/12,"1,00"
Modulo de Pagamento Momento,KIT-PM-BLACK,"1,00"
(MOMENTO MILK) WATER TANK 232 CPL V3 | RESERVATÓRIO DE ÁGUA 232 V3,138662,"1,00"
Identificador de Café Leggero Kit c/50,122844,"1,00"
Latt PRO - Milk aspiration tube,93902,"1,00"
Prod - Water tank lid,95325,"1,00"
Latt One - Capsule container - Brown,96123,"1,00"
Candle Festive GWP 2020,3754,"1,00"
